party,handicappedInfants,waterProject,budgetResolution,physicianFeeFreeze,elSalvadorAid,religiousGroupsInSchools,antiSatelliteTestBan,aidToNicaraguanContras,mxMissile,immigration,synfuelsCorporationCutback,educationSpending,superfundRightToSue,crime,dutyFreeExports,exportsSouthAfrica
democrat,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
democrat,y,n,y,n,y,y,y,n,noVote,n,y,n,y,y,y,noVote
democrat,y,n,n,n,y,y,noVote,n,noVote,n,n,n,n,y,noVote,n
democrat,noVote,noVote,noVote,noVote,n,y,y,y,y,y,noVote,n,y,y,n,noVote
democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
republican,n,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,y,noVote,noVote
democrat,y,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,y,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
republican,n,noVote,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,n,noVote,y,n,n,y,y,y,n,y,n,n,n,n,y,noVote
republican,n,noVote,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,y,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,n,noVote,y,n,noVote,noVote,y,y,y,y,noVote,noVote,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,n,noVote,noVote,y,y,y,n,n,n,y,n,y,y,y,noVote,y
republican,n,noVote,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
republican,y,noVote,n,y,y,y,n,y,n,n,n,y,y,y,n,y
democrat,n,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,noVote,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,noVote,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,n,noVote,y,n,n,n,y,y,y,y,y,n,n,y,y,y
democrat,n,noVote,y,n,n,y,n,y,n,y,y,n,n,n,y,y
democrat,noVote,noVote,y,n,n,n,y,y,noVote,n,noVote,noVote,noVote,noVote,noVote,noVote
democrat,y,noVote,y,n,noVote,noVote,y,y,y,n,n,n,n,n,y,noVote
democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,noVote
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,noVote
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
democrat,n,noVote,y,n,n,y,y,y,y,y,n,n,n,y,y,y
democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,noVote,y
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
democrat,n,noVote,n,n,n,y,y,y,y,y,n,n,n,y,n,noVote
democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,noVote,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
